Token	:	Tag
---------------------------------------------
recusado	:	VERB
pretende	:	VERB
fica	:	VERB
fazer	:	VERB
promete	:	VERB
voltou	:	VERB
notado	:	VERB
aposentado	:	VERB
vive	:	VERB
espera	:	VERB
recuperar	:	VERB
ordenando-o	:	VERB
foge	:	VERB
resgatar	:	VERB
escapou	:	VERB
cometer	:	VERB
encontra	:	VERB
aciona	:	VERB
construída	:	VERB
retornando	:	VERB
conhece	:	VERB
casamento	:	VERB
põe	:	VERB
alteraria	:	VERB
forçando-o	:	VERB
servir	:	VERB
cupido	:	VERB
contém	:	VERB
utilizado	:	VERB
sequestrado	:	VERB
